rating_id,company_id,analyst_firm,rating,target_price_usd,rating_date
20759,32,Macquarie,Outperform,,2016-02-02
20760,32,Deutsche Bank,Hold,,2016-01-26
20761,32,Macquarie,Neutral,,2016-01-20
20762,32,"Keefe, Bruyette & Woods",Market Perform,,2016-01-20
20763,32,Barclays,Neutral,,2016-01-20
20764,32,Societe Generale,Sell,,2016-01-13
20765,32,Nomura,Buy,,2016-01-11
20766,32,UBS,Buy,,2015-12-01
20767,32,Barclays,Neutral,,2015-10-20
20768,32,Macquarie,Neutral,,2015-10-20
20769,32,Barclays,Neutral,,2015-10-09
20770,32,JMP Securities,Outperform,,2015-10-08
20771,32,RBC Capital,Outperform,,2015-10-07
20772,32,Evercore ISI Group,Buy,,2015-08-31
20773,32,Guggenheim,Neutral,,2015-07-29
20774,32,Macquarie,Neutral,,2015-07-21
20775,32,Citigroup,Neutral,,2015-07-13
20776,32,Macquarie,Neutral,,2015-04-21
20777,32,Susquehanna,Neutral,,2015-04-07
20778,32,Deutsche Bank,Neutral,,2015-01-22
20779,32,JMP Securities,Market Perform,,2015-01-12
20780,32,Barclays,Neutral,,2015-01-05
20781,32,Credit Suisse,Neutral,,2015-01-05
20782,32,Buckingham Research,Neutral,,2014-12-12
20783,32,UBS,Buy,,2014-12-08
20784,32,"Keefe, Bruyette & Woods",Market Perform,,2014-10-20
20785,32,JMP Securities,Outperform,,2014-10-06
20786,32,Credit Suisse,Neutral,,2014-10-03
20787,32,JP Morgan,Neutral,,2014-09-24
20788,32,Macquarie,Neutral,,2014-09-05
20789,32,Macquarie,Outperform,,2014-07-19
20790,32,Barclays,Neutral,,2014-06-17
20791,32,Deutsche Bank,Hold,,2014-04-24
20792,32,Barclays,Neutral,,2014-04-22
20793,32,Nomura,Buy,,2014-04-21
20794,32,B of A Securities,Buy,,2014-04-15
20795,32,JMP Securities,Outperform,,2014-01-09
20796,32,Nomura,Neutral,,2014-01-09
20797,32,Societe Generale,Hold,,2014-01-07
20798,32,Deutsche Bank,Hold,,2013-12-05
20799,32,Mediobanca Securities,Outperform,,2013-10-23
20800,32,UBS,Buy,,2013-09-11
20801,32,Oppenheimer,Market Perform,,2013-06-10
20802,32,Macquarie,Outperform,,2013-06-07
20803,32,Deutsche Bank,Buy,,2013-05-30
20804,32,SunTrust Robinson Humphrey,Buy,,2013-04-23
20805,32,Credit Suisse,Neutral,,2013-04-02
20806,32,Guggenheim,Neutral,,2013-03-28
20807,32,HSBC,Neutral,,2013-02-22
20808,32,SunTrust Robinson Humphrey,Neutral,,2013-02-06
20809,32,Nomura,Neutral,,2013-01-22
20810,32,Susquehanna,Neutral,,2013-01-22
20811,32,Mediobanca Securities,Underperform,,2013-01-14
20812,32,UBS,Neutral,,2013-01-10
20813,32,ISI Group,Hold,,2013-01-04
20814,32,Nomura,Neutral,,2013-01-03
20815,32,Citigroup,Neutral,,2012-12-24
20816,32,Evercore ISI Group,Overweight,,2012-12-19
20817,32,SunTrust Robinson Humphrey,Neutral,,2012-12-07
